Rooms,Type,Price,Bedrooms,Baths,Car,HouseArea,LotArea,BuiltYear
3,h,830000,3,1,2,10681,1243,1960
2,u,462500,2,1,1,1804,,2003
3,h,670000,3,2,2,7227,,
2,h,675000,2,1,1,6732,1100,1975
3,h,1042000,3,2,5,6732,1914,1950
3,h,910000,3,1,1,8525,,
4,h,773000,5,3,4,5841,3399,1980
3,h,715000,,,,,,
3,h,810000,3,3,2,6105,2112,1980
3,h,715000,3,2,2,4642,1386,1995
3,h,790000,3,1,3,6754,,
2,t,460000,,,,,,
3,t,540000,2,2,1,1771,1111,2010
3,t,825000,3,2,1,3223,1122,1960
3,h,685000,3,1,1,6369,1243,1975
3,u,445000,,,,,,
3,h,805000,3,1,1,6853,,
2,u,510000,2,1,1,1551,836,
3,h,612000,3,2,1,2332,,
3,h,662000,3,1,2,6732,,
4,h,978000,4,3,2,5852,,
3,u,,,,,,,
3,h,720000,3,1,1,6435,,
2,u,474000,,,,,,
2,t,490000,,,,,,
3,h,405000,,,,,,
3,t,715000,,,,,,
3,u,671500,,,,,,
4,h,765000,4,1,2,5599,,
4,h,900000,4,2,3,6908,1606,1975
3,u,820000,,,,,,
3,u,650000,,,,,,
3,t,552000,,,,,,
2,h,1275000,2,1,0,1320,902,1900
2,h,1455000,2,1,0,1749,,
3,h,2850000,3,2,0,2321,2178,1890
3,h,1850000,3,2,0,1408,1463,1890
2,h,,2,1,0,2365,,1900
2,h,1436000,2,1,0,1430,891,1900
3,h,,2,2,1,3696,1595,1890
2,h,1110000,1,1,0,1617,,1900
2,h,1550000,2,1,1,1837,,
4,h,2300000,4,2,1,1683,1980,1880
3,h,,3,1,2,3476,1375,1880
3,t,1550000,3,2,2,7898,,
3,h,1800000,3,2,1,1452,1749,1996
3,h,2485000,,,,,,
2,h,2120000,2,1,1,2189,1177,1900
3,h,1800000,3,1,1,2783,,
3,h,1800000,3,2,1,990,1342,1900
3,h,,3,1,0,1386,968,1910
2,h,1810000,2,1,0,2640,,
3,h,2615000,3,2,1,1947,1991,1880
5,h,2100000,5,2,1,2607,,
3,h,1300000,3,1,0,1419,,
3,h,1370000,3,2,2,,935,2000
2,h,1000000,2,1,0,3168,,
2,h,,2,1,2,4026,1287,1900
3,h,2575000,3,2,1,2508,,
2,h,1322500,2,1,0,1639,1078,1890
2,h,,2,1,1,1672,,
2,h,1562500,2,1,0,1551,913,1890
3,h,2000000,3,2,1,2321,1617,1900
4,h,,3,1,0,2596,,
3,h,,3,1,2,3300,,
3,h,1900000,3,1,0,2299,,1900
3,h,3010000,3,2,0,1617,1606,1890
3,h,,3,1,0,1903,,
4,h,2800000,4,3,1,3597,2794,1910
3,h,,3,1,0,1859,,
2,u,647000,2,1,1,,,
3,h,,3,2,1,1342,,
3,h,2100000,2,1,1,1320,1353,1900
3,h,,3,2,1,2651,1309,1990
2,h,,2,2,1,2475,,
7,h,,7,7,0,4785,,
3,h,2000000,3,1,1,2618,1441,1890
1,u,442500,1,1,0,,374,1970
4,h,4735000,4,2,1,3630,2277,1910
2,h,1340000,2,1,0,1496,,
3,h,1801000,3,1,1,2222,,
3,h,1532000,3,3,1,,,
3,h,3755000,3,2,2,3575,,
4,h,2140000,3,2,1,2013,1595,1880
2,u,1810000,,,,,,
2,h,1750000,2,1,1,1782,,
2,h,980000,2,1,0,869,748,1890
2,h,,2,1,0,1089,715,1900
4,h,,4,2,0,2530,2035,1900
3,h,,3,2,1,1551,,
3,h,2030000,3,2,0,1672,,
3,h,1740000,3,2,2,1617,1474,1890
3,h,2800000,3,3,1,,,
1,h,985000,1,1,0,891,594,1900
3,h,,3,2,1,1914,1342,2003
4,h,2000000,3,2,4,9383,2893,1930
3,h,1110000,3,2,2,2288,,2013
3,h,1492000,3,2,2,4521,,
2,u,480000,,,,,,
3,h,,3,1,3,10142,,
3,t,1304000,,,,,,
4,h,1717500,4,2,1,6589,2233,1925
5,h,2840000,5,4,4,8899,1815,1910
5,h,,5,3,4,8173,,1915
2,u,525500,2,1,1,968,660,1960
2,t,805000,2,2,3,1705,1540,2004
2,u,465000,2,1,1,,,
4,t,,,,,,,
3,h,1480000,,,,,,
3,h,2000000,3,3,2,7546,,
3,h,1540000,3,1,2,6512,,
4,h,,,,,,,
2,u,590000,,,,,,
2,u,820000,2,1,1,2013,,
4,h,1830000,4,2,2,6666,1232,1970
4,h,2100000,4,2,2,6325,2981,2008
3,h,865000,3,1,1,1980,1441,2010
2,u,390000,2,1,1,,660,1960
2,t,650000,0,1,0,,,
2,u,512000,2,1,1,,671,1965
3,h,1361000,,,,,,
4,h,,4,2,2,6567,,
3,h,1310000,,,,,,
3,h,570000,,,,,,
3,h,1165000,3,1,2,10769,,
2,u,530000,,,,,,
4,h,1900000,4,2,2,6116,2992,1930
5,h,,5,2,2,6072,2321,1916
3,h,1485000,3,0,0,6567,,
4,h,1950000,4,2,3,6479,2310,1920
3,h,520000,3,2,1,3872,2662,2015
5,h,1525000,5,3,3,8019,2948,2005
2,t,720000,2,1,2,3212,1375,2013
3,h,1120000,3,1,2,5566,1320,1930
4,h,780000,4,1,4,7205,,
4,h,1780000,4,3,6,11627,2420,1962
3,u,630000,2,1,2,3421,1034,1955
2,u,406000,2,1,1,715,,
3,h,660000,3,1,1,6622,1353,1955
3,h,683500,3,1,1,5830,,
2,u,540000,,,,,,
2,u,580000,2,1,1,2475,1023,1988
3,h,1335000,3,1,4,8547,242,1953
3,t,800000,3,2,2,3080,,1997
2,u,510000,2,1,1,1397,836,1990
4,h,1070000,4,2,2,7645,,
2,u,425000,2,1,2,1265,627,1980
3,u,605000,3,2,2,2530,,
3,t,705000,3,2,2,2167,1672,
2,u,391000,2,1,1,,715,1965
2,u,440000,2,1,1,,,
4,h,845000,4,1,2,8195,1430,1950
3,h,766000,,,,,,
3,t,743000,3,2,2,2321,1936,
3,t,650000,,,,,,
3,u,730000,3,2,1,759,1551,2014
3,t,916500,,,,,,
3,h,635000,3,1,4,6875,,1960
2,u,620000,2,1,1,1848,,
2,u,447000,2,1,1,1507,847,1990
3,u,730000,3,2,1,770,,
3,h,678000,3,1,2,6666,957,1950
2,u,580000,2,2,1,1925,836,2013
3,h,712000,3,1,2,3993,,
3,h,840000,3,2,2,5874,1496,1965
3,h,980000,3,1,2,7964,,
4,h,1000000,,,,,,
3,t,605100,3,2,0,2915,,
3,h,880000,3,3,1,6347,,
3,u,577000,3,2,1,2255,1243,2007
4,h,,4,2,3,5544,,
4,h,1030000,4,1,0,8767,,
3,u,605000,3,1,2,1991,,
3,h,685000,,,,,,
2,u,,2,1,1,1287,638,1980
3,h,753000,3,2,2,5819,,
2,h,857000,2,2,1,7425,1100,1950
3,h,1500000,3,1,1,10219,,
3,u,730000,3,2,1,770,33,2014
3,h,900000,3,1,4,7667,,
3,h,740000,3,1,2,6644,,
4,h,931000,4,2,3,5852,,1970
2,h,535600,2,1,1,1694,1001,1996
3,h,,3,1,1,6820,1188,1950
5,h,1085000,5,3,6,6512,2761,1965
3,h,781000,3,1,2,5863,1287,1970
4,h,857500,,,,,,
4,h,960000,,,,,,
3,h,750000,3,1,3,6094,,
2,t,421000,2,1,1,847,847,2009
3,h,1405000,3,1,3,7205,,
2,h,,,,,,,
3,h,683000,3,1,2,5874,1837,1967
3,h,,,,,,,
3,h,623000,3,1,3,5940,,
3,h,720000,3,2,1,,1430,2012
4,t,780000,,,,,,
3,u,720000,,,,,,
3,h,705000,,,,,,
3,h,588000,3,1,1,3608,1298,1970
4,h,720000,,,,,,
3,h,710000,3,1,3,5940,1276,1960
2,h,550000,,,,,,
3,u,640000,,,,,,
3,h,537500,,,,,,
4,t,,,,,,,
4,h,875000,3,1,4,6149,1859,1965
3,h,800000,,,,,,
3,t,713500,,,,,,
4,h,,4,2,5,5907,2156,1960
3,h,700000,3,1,3,6094,,
2,h,551000,,,,,,
3,h,685000,,,,,,
2,t,640000,2,1,1,2772,,1965
4,h,650000,4,1,4,6138,,
3,h,925000,,,,,,
3,h,,,,,,,
2,h,,,,,,,
3,t,670000,,,,,,
3,h,680000,,,,,,
3,h,765000,,,,,,
3,h,675000,3,2,2,1881,1199,2012
3,h,708000,3,1,2,6435,1067,1960
3,t,656000,,,,,,
4,h,883000,,,,,,
4,h,965000,4,1,4,9361,,
3,h,870000,,,,,,
3,h,681000,,,,,,
2,h,522500,,,,,,
5,h,972000,,,,,,
3,t,590000,,,,,,
2,h,450000,,,,,,
3,h,765000,,,,,,
3,h,750000,,,,,,
3,h,680000,3,1,3,6061,,
1,u,,1,1,1,,506,1970
2,t,510000,,,,,,
3,h,770000,3,1,3,6622,6633,
3,h,923000,3,1,2,8140,,
4,h,693000,4,2,4,3465,1870,2008
3,h,620000,5,2,2,3036,1100,2010
3,h,800000,,,,,,
3,h,728500,3,1,1,5841,1727,1960
3,h,931000,3,2,1,6490,1760,1950
3,h,988000,3,1,4,7865,,2008
3,h,590000,,,,,,
3,h,590000,3,1,2,6171,,
2,h,610000,2,1,2,7601,,
2,h,,,,,,,
3,h,815000,3,2,3,6105,1430,1960
4,h,970000,4,1,2,7788,,
4,h,840000,,,,,,
3,h,840000,,,,,,
4,h,760000,4,1,3,7348,,
3,h,852500,,,,,,
4,t,847500,4,3,1,2772,,
4,h,1200000,4,1,4,6963,1738,1960
3,h,630000,,,,,,
3,h,,,,,,,
3,h,700000,3,1,1,6127,,
3,h,625000,3,1,1,5896,,
2,u,292000,2,1,1,1683,770,1970
3,t,640000,,,,,,
3,h,800000,,,,,,
3,h,,2,1,1,3355,,
2,u,599000,2,1,1,,836,1964
2,u,550000,2,1,0,9471,,
3,u,995000,3,2,2,,1100,1998
3,t,1205000,3,2,2,1111,1155,2000
3,h,,3,2,2,6468,1848,1930
3,h,2675000,,,,,,
3,h,1939000,3,2,2,3256,1650,1889
1,u,421500,1,1,0,,,
2,u,585000,,,,,,
3,h,2050000,,,,,,
3,h,1870000,3,1,1,2387,1276,1888
4,h,,4,2,1,2321,,
2,u,678000,2,1,2,,,
2,h,,2,1,1,2013,,
3,h,,,,,,,
3,t,1918000,3,2,2,,1815,1995
1,u,,1,1,0,9691,,
2,u,660000,2,1,1,,,
3,h,2050000,3,2,1,2255,1276,1910
4,h,,,,,,,
2,u,,2,1,1,,715,1970
2,u,700000,2,1,2,,,
2,u,3625000,3,2,2,,,2006
4,h,3000000,4,2,2,17391,,1934
2,h,1930000,,,,,,
5,h,1525000,8,2,2,7623,,
4,h,,4,1,2,5500,,
3,u,735000,3,2,1,23243,154,1970
2,u,825000,2,1,1,,,
3,t,1586000,2,2,2,2706,,
4,h,,4,2,2,4059,1936,1930
3,t,,2,2,1,1925,1738,1970
2,u,,2,1,1,,715,1970
5,h,,,,,,,
2,u,645000,3,1,1,,,1960
1,h,1435000,2,2,1,1584,1177,1900
4,h,,3,4,2,7282,3212,1920
1,u,280000,1,1,1,,418,1975
1,u,400000,1,1,1,,,
4,h,,4,2,2,6061,2288,1890
2,h,1780000,2,2,2,,,
3,h,,3,2,0,2706,2244,1890
2,u,592500,2,1,1,,803,1970
3,h,,3,2,1,2662,1573,1915
2,h,1210000,2,1,0,2739,1056,1910
4,h,2801000,4,2,2,6864,2442,1900
3,u,,3,2,3,,2233,2006
3,h,,2,2,2,3212,1606,1910
3,h,,3,2,1,5302,2002,1930
1,u,390000,1,1,0,9691,,
3,h,,3,2,1,2508,1221,1915
3,h,1800000,3,2,2,4455,1331,1910
4,h,,,,,,,
4,h,2200000,4,1,2,5445,1793,1900
4,h,,,,,,,
1,u,324000,1,1,1,,,
3,h,,3,1,2,4961,,
2,u,,2,1,1,,880,1966
2,u,,,,,,,
3,u,,3,1,4,,,
2,h,,3,1,2,2530,,1888
6,h,5525000,5,3,4,16401,5676,1935
4,h,,2,2,2,4939,2552,1900
2,h,1125000,3,1,2,1859,,
3,h,2250000,3,3,1,3311,,
3,h,2360000,3,2,0,3696,,
2,h,1900000,2,2,0,2277,,
1,u,440000,1,1,1,,583,1970
2,u,,,,,,,
2,u,,2,1,1,8074,,2006
2,u,490000,2,1,1,,,1966
3,t,,3,2,2,,1485,1998
3,h,2365000,3,2,1,3476,,
3,h,1300000,2,1,2,2332,1166,1900
2,u,,2,1,1,,737,1970
3,u,732000,3,2,2,,,
2,u,704000,2,1,1,,814,1969
4,h,,,,,,,
2,u,,,,,,,
2,u,620000,3,1,1,,1078,1970
3,h,1900000,3,1,2,3608,1188,1900
3,h,,3,2,2,,,
3,t,,2,3,2,,,
2,u,,2,2,1,29249,,
1,u,315000,1,1,1,,,
3,h,,2,1,0,1661,880,1880
3,h,1992000,,,,,,
1,u,450000,1,1,1,,,
2,u,710000,2,1,1,27181,880,1970
2,u,872000,2,1,1,13134,,1953
2,u,598000,2,1,1,,968,1970
3,h,,3,2,2,5049,1980,1890
3,h,1285000,3,1,2,2046,880,1920
4,h,3660000,4,3,2,4631,,
3,h,,3,1,2,2761,1639,1920
2,u,,2,1,1,,,
2,u,520000,1,1,1,,836,1970
4,h,2760000,,,,,,
4,h,,,,,,,
2,u,690000,,,,,,
4,h,3625000,4,1,2,7799,2761,1900
4,h,4200000,4,3,3,6193,3663,2000
3,t,1101000,3,1,2,1133,33,2000
3,h,3512500,3,2,2,6787,3135,1998
2,u,,2,1,1,,,
2,u,,2,1,2,,1232,2012
4,h,2000000,4,3,4,5984,,
3,h,,3,3,1,,,
3,u,869000,2,1,1,,1001,1940
2,u,577000,,,,,,
3,h,,3,2,1,2156,1705,1990
2,u,,2,1,4,,,
3,h,2865000,,,,,,
5,h,2810000,5,2,2,6787,,
2,u,565000,3,1,1,,,
1,u,567000,1,1,1,,583,2013
2,u,546000,2,0,0,,,
2,h,,3,1,1,2926,,
2,u,471500,2,1,1,,,1980
3,h,,3,1,2,3355,1485,1910
2,u,455000,3,1,2,,,
3,h,940000,3,1,2,3278,1188,1920
2,u,467000,2,1,1,,682,1980
3,h,,3,1,2,2981,1221,1900
3,h,895000,,,,,,
3,h,1380000,3,2,2,3047,1914,1910
2,u,490000,2,1,1,4653,682,1970
4,h,1850000,4,3,1,5258,2970,1900
3,h,1284000,3,1,2,6853,,1938
3,h,971000,3,2,2,3135,1408,1900
2,h,710000,2,1,1,2354,847,1890
6,h,2425000,6,3,2,11154,4785,1887
2,h,750000,2,1,1,2486,1012,1920
2,h,840000,,,,,,
2,h,1053000,2,1,1,2959,1199,1900
3,h,1377000,3,1,1,4587,1848,1900
3,h,970000,3,1,2,3850,1375,1904
2,h,940000,2,1,1,3630,,
2,h,751000,2,1,1,1298,869,1890
2,h,950000,2,1,1,1903,1122,1900
3,h,,3,2,2,2772,1375,1920
2,u,685000,2,1,2,2508,990,1995
4,h,,3,1,2,4378,,
3,h,1230000,4,1,2,6534,1628,1960
2,h,636500,2,1,1,,,
3,h,910000,3,1,0,3487,,
2,h,872500,,,,,,
2,h,770000,2,1,1,2486,957,1900
2,t,490000,,,,,,
3,h,960000,3,2,2,2519,,2011
4,h,890000,4,1,1,3300,2035,1890
2,h,965000,2,1,1,1870,,
4,h,,4,1,2,5082,1870,1910
4,h,1200000,,,,,,
3,h,1440000,3,1,1,5357,1441,1900
2,h,955000,2,1,0,2805,,
2,u,450000,2,1,1,,,2010
3,h,801000,3,1,2,4741,,1950
4,h,,4,2,3,10450,1947,1950
3,h,770000,,,,,,
3,h,1000000,3,2,2,4840,1320,1955
3,h,1435000,3,2,2,5852,1617,1950
1,u,390000,1,1,1,,638,1972
3,h,1425000,3,2,2,5445,1529,1920
3,h,925000,,,,,,
4,h,1340000,3,2,2,7513,2552,1978
3,h,955000,3,1,1,2893,1287,1910
2,h,1075000,,,,,,
4,h,1100000,4,2,5,6149,2145,1920
3,h,1255000,3,2,2,3388,,
4,h,1483000,,,,,,
2,u,432000,2,1,1,,682,1978
4,h,1640000,4,3,2,6182,2244,1890
6,h,1430000,4,2,1,5071,3146,1900
2,u,610000,2,1,1,3311,1144,1995
3,h,940000,3,3,1,5401,1397,1950
3,h,890000,3,1,1,2662,1210,1920
4,h,1505000,,,,,,
3,h,1180000,3,2,2,6787,1639,1930
4,h,1480000,4,2,2,6567,1980,1939
2,h,1150000,2,1,1,4257,,
3,h,1350000,3,1,3,6325,,
5,h,1905000,5,2,2,5731,,
2,t,865000,2,2,1,1606,1452,2015
2,t,705000,2,2,1,1243,,1998
2,u,442000,2,1,1,,682,1975
2,u,540000,2,2,1,,,
3,h,1037500,3,1,2,5566,1210,1920
3,t,1050000,3,2,2,3498,1760,2013
6,h,,6,2,3,9163,4521,1910
2,u,440000,2,1,1,,715,1970
2,h,1010000,2,1,1,3575,,
4,h,1430000,4,2,0,4598,1738,1900
2,u,570000,2,1,1,,,
2,u,690000,2,1,1,,,
4,h,,4,3,4,5357,4422,1940
4,h,1070000,,,,,,
3,h,1291000,3,1,2,4554,,
3,h,,3,2,2,3278,1452,1890
3,h,1130000,3,2,1,2992,1727,1900
3,h,1135000,3,1,1,3256,1144,1910
4,h,950000,4,2,1,3278,1617,1920
3,u,790000,3,2,1,,1628,
3,h,,3,1,1,2266,1265,1900
2,u,390000,2,1,1,21527,759,2012
4,h,1345000,4,1,1,6072,1705,1920
1,u,296000,,,,,,
3,h,1381500,3,2,2,4576,1848,1900
3,h,940000,3,2,2,3135,1892,2011
3,h,995000,3,2,1,3454,1947,2010
3,h,1050000,3,1,3,5896,,
3,h,786000,3,2,1,6336,1320,1940
2,h,705000,2,1,3,2772,1188,1910
3,h,660000,,,,,,
2,h,760000,2,1,1,1364,847,1900
3,u,487500,3,1,3,,,1972
3,h,1125000,,,,,,
3,t,1000000,3,2,2,2200,1584,2003
4,h,1110000,4,2,1,3839,,1920
4,h,1300000,4,1,4,7304,,
3,h,1060000,3,1,1,6105,,
3,h,1410000,3,2,2,5049,,
3,h,1305000,2,1,1,3058,1826,1900
3,h,932500,3,2,1,2794,,
3,h,965000,3,1,0,2376,,
3,h,1215000,3,1,1,4972,1925,1960
2,u,545000,2,1,2,2134,781,1900
4,h,1800000,,,,,,
3,t,840000,,,,,,
4,h,1705000,4,2,4,6578,3003,2012
3,h,970000,2,1,1,2134,,
2,h,925000,2,1,1,4477,,
4,h,2650000,4,3,2,8283,4389,2015
2,h,1820000,,,,,,
3,h,1670000,3,2,2,6589,2420,1930
3,t,955000,3,2,2,2233,,
3,t,2050000,3,3,4,3410,3465,2014
3,h,,3,1,1,4070,1100,1950
2,u,500000,2,1,1,7810,,2010
2,h,1575000,2,1,2,7469,,
4,h,1991000,,,,,,
3,h,1425000,,,,,,
3,h,1555000,3,2,2,8041,1639,1935
2,h,1417000,,,,,,
4,h,,,,,,,
5,h,1850000,,,,,,
2,h,,,,,,,
3,h,780000,,,,,,
4,h,1942000,,,,,,
3,h,1100000,3,3,2,3036,1958,2004
3,h,1337000,3,1,2,6413,1232,1950
8,h,2950000,9,7,4,16192,6798,2009
4,h,2215000,4,2,1,7491,,1940
4,h,1880000,,,,,,
3,h,1518000,3,2,2,5676,1595,1920
3,h,1710000,3,1,2,8866,1111,1950
3,h,,3,1,2,7689,,
3,h,,3,1,2,7667,1793,1962
3,h,1655000,3,1,3,8580,1672,1940
3,t,1340000,,,,,,
3,h,1445000,,,,,,
3,h,1500000,,,,,,
4,h,,4,2,2,5643,1760,1950
4,h,1550000,4,2,2,8580,1980,1938
2,h,1356000,,,,,,
3,h,1662000,3,2,2,3861,2508,2006
2,h,,3,1,2,7590,,
3,h,1665000,3,2,3,7722,1595,1945
3,h,,3,2,1,4444,4378,2010
3,h,,3,2,2,7150,,
2,h,1445000,2,1,2,7744,,
3,h,1600000,,,,,,
3,h,980000,,,,,,
3,t,1300000,,,,,,
3,h,,3,2,2,7656,,
4,h,,,,,,,
2,h,,2,1,2,7667,,
5,h,3510000,5,5,2,8305,4884,2015
4,h,1730000,,,,,,
3,h,,3,2,2,6501,1562,1960
3,t,968000,3,1,1,2497,,
3,t,900000,3,2,2,1683,1210,1990
3,h,1570000,,,,,,
3,h,1500000,3,1,2,5995,,
3,h,1360000,,,,,,
5,h,2752000,6,4,2,11825,4290,2010
4,h,,4,3,1,3410,1980,2016
4,h,1600000,,,,,,
3,h,,,,,,,
3,h,1500000,3,2,2,7810,1529,1945
2,h,,2,1,2,7392,,
3,h,1430000,,,,,,
3,h,1601000,,,,,,
4,h,1650000,,,,,,
4,h,1800000,4,2,4,8239,2266,1950
3,h,1610000,,,,,,
4,h,,,,,,,
4,h,,4,2,2,7733,2167,1927
3,h,1830000,3,2,3,7964,1848,1940
3,t,,,,,,,
3,h,1415000,3,1,1,6655,1221,1950
2,h,1440000,2,1,1,7557,1144,1940
4,t,1250000,4,2,2,3531,2189,2007
3,h,1422000,3,1,2,6413,,
5,h,1600000,5,3,4,7700,2926,1950
4,h,1860000,4,2,3,7656,3014,2000
3,t,1710000,3,2,2,3245,,1990
3,h,,3,1,2,8272,,1948
4,h,1790000,4,2,2,5654,2640,1935
4,h,1950000,4,2,2,9284,3058,1940
3,h,1600000,3,1,2,7007,,
3,h,1320000,3,1,2,11693,,
3,h,1650000,3,1,1,7667,1804,1947
4,h,1280000,,,,,,
3,h,,3,1,2,3773,,1960
2,h,995000,2,1,1,6413,,1950
3,t,,3,2,2,4125,,
3,h,1250000,3,1,1,9262,,
3,h,,,,,,,
3,u,1045000,3,2,2,5137,,
4,h,1200000,4,3,2,4092,2211,2016
2,h,1075000,2,1,2,7645,1254,1950
4,h,,4,2,3,7425,3322,2000
4,h,1500000,2,2,2,6831,2233,2000
3,h,1120000,3,1,2,7953,,
2,t,700000,2,1,2,4037,1210,1970
3,h,761000,3,2,4,4400,1034,1950
4,h,1270000,4,2,1,7964,,
4,h,1510000,4,2,2,5786,,
3,h,1365000,3,1,1,8712,8712,1950
4,h,1100000,3,2,2,8833,1672,1970
2,u,675000,,,,,,
3,h,,3,1,2,10791,,
3,h,1232800,,,,,,
3,h,1170000,,,,,,
3,h,,3,1,1,8448,1056,1950
4,h,1415000,4,3,2,7964,,
2,u,690000,2,1,1,2376,990,2003
3,h,1631000,3,2,3,8602,2365,1950
3,h,,3,1,2,8635,1661,1968
4,h,1500000,4,2,1,6523,2805,1930
2,t,690000,,,,,,
3,t,,,,,,,
3,h,1060000,2,1,2,8492,,
3,h,875000,,,,,,
5,h,1529500,5,3,2,6435,3487,2000
2,h,1250000,,,,,,
3,h,1200000,,,,,,
4,h,,4,2,2,8657,1738,1975
2,u,600000,2,1,1,1683,880,1970
4,t,980000,,,,,,
3,u,,3,1,2,3883,1078,1950
2,u,535000,2,1,1,792,,
4,t,1230000,,,,,,
4,h,,4,2,2,8173,2585,2011
3,h,,3,1,1,7766,1727,1950
3,h,785000,3,1,1,6127,,1960
4,h,1240000,4,2,2,8426,2112,1950
3,h,,3,2,2,8041,1617,1950
2,u,700000,2,1,2,2112,968,2007
3,t,880000,,,,,,
4,h,,,,,,,
2,u,675000,,,,,,
4,t,,,,,,,
4,h,1350000,4,2,1,7997,,
2,h,1110000,2,1,1,6446,946,1950
3,h,1305000,3,1,1,8360,1320,1960
4,h,,,,,,,
3,h,855000,3,2,1,3520,935,1958
3,h,900000,,,,,,
4,t,1400000,,,,,,
4,t,,,,,,,
3,t,964000,,,,,,
3,u,,,,,,,
3,t,900500,3,2,2,2816,1474,2012
4,h,,4,2,2,8580,1705,1950
4,h,,3,3,2,7887,3421,1960
5,h,,4,3,2,6369,2673,1998
3,h,1200000,3,2,2,9229,2178,1970
3,h,,3,1,1,8569,,
3,t,830000,2,1,2,2332,1430,2012
3,h,,3,1,4,7447,1540,1960
4,h,1310000,,,,,,
3,h,850000,3,1,1,6523,1298,1970
3,h,750000,3,1,1,,1133,1980
3,t,851000,3,3,1,6127,1991,2017
4,h,,4,2,2,7755,5500,1999
3,h,848000,3,1,2,5962,,
4,h,806000,4,2,1,3850,,2008
4,h,1155000,3,2,2,6259,2475,2008
3,h,670000,3,2,2,7381,,
4,h,1200000,4,5,4,7403,,
3,h,636000,2,1,2,6281,,
3,h,655000,,,,,,
3,h,,3,1,1,6435,1408,1955
3,h,680000,3,1,2,6270,1320,1970
3,h,,3,1,2,6600,1133,1965
4,h,1160000,4,3,2,8679,,
3,h,560000,,,,,,
